Hotel Name,Date,Person's Name,Review
ITC,Feb-21,Deepti Moorkothy,Attended a banquet function... So ya... could easily make out the post Covid changes...which the brand is following...keep up the good job.. stay safe all!!!
ITC,Mar-21,shekar kl,"Came for weekend with family as stay cation, i must say this is the place to be as I took my family out first time covid protocol under we assure was fantastic felt safe, ordered food in room it is very tasty and beat in the world the …"
ITC,Jan-21,Sumanduryo Dhan,"I would like to Share my experience with everyone, 1.Covid protocols was taken care at 5 star levels, I feel total safe at your premises, 2.Service was at its peak,Loved the service by all the staff and they are so energetic and have a …"
ITC,Sep-20,Balaji Ranganathan,… this place in the lockdown they have a scaled down menu but everything we tasted were excellent. Staff take all precautions and safety. They have a scan menu and options to pay electronically which is excellent but you need an OTP …
ITC,Feb-21,radhika shastry,Very safe in these Covid times. Awesome food. As always the dal took the cake 👍
ITC,Feb-21,the Agrawals,It was a safe stay with ITC gardenia they maintain precautions sanitisation in every point of the hotel and the breakfast was good it had many varieties
ITC,Feb-21,Umashankar Devappa,Good hospitality and safety precautions. Food needs little more variety.
ITC,Jan-21,Asmita Singh,"The ambience,food, service everything was perfect and their we assure programme just to ensure the safety and hygiene towards guest is phenomenal!"
ITC,Jan-21,Ifra Imam,All covid protocols were followed and safety measures were in place. Wonderful location and great ambience
ITC,Feb-21,Divya Mittal,"… hotel to dine in Bangalore. The food taste, service and presentation is absolutely brilliant. They have ensured safety standard in place as well!"
ITC,Jan-21,Tanya Mehra,The stay was very comfortable and safe specially during this pandemic.
ITC,Jan-21,Mahesha Sn,… when the COVID-19 lockdown was relaxed. It was very reassuring and pleasing to see the level of hospitality and facilities provided that assured safety of the guests and the hotel staff alike.
ITC,Dec-20,abhilash sethurayar,Had a nice stay. The safety features followed by them are very reassuring. The rooms were cleaned and sealed before we checked in. All cutlery in the restaurants were cleaned and wrapped in paper and sealed before being kept on the table. …
ITC,Dec-20,sanjeev sharma,"Best hotel in town,"
,,,"Neat , clean,safe with hygiene,"
,,,"Front staff is very good, executive vanshika offered Sanitizer after signing the documents, it reflects how much they care for guest safety"
,Dec-20,Rakshatha Murching,"Our 2-Day staycation was wonderful. Despite COVID - 19 around, ITC still makes you feel very safe with the measures they have taken. The food is absolutely amazing, loved the ambience. Dinner at the Lotus Pavillion was excellent. The staff …"
,,,
Sofitel Mumbai BKC,Mar-21,Nikesh Banwade,"Nice Hotel, with superb ambience . Good service. Nice healthy breakfast . Staff are supporting . Proper sanitization of rooms and hotel area. Safe to stay during pandemic. All guidelines are being followed"
Sofitel Mumbai BKC,Jun-21,Srushti Shinde,Amazing hospitality with Prime location.Staff service is amazing.Will specifically like to mention Devraj and Nagesh from In Room service department who went out of the box to help me out with all that I needed with all the protocols and safety majors of their guest. …
Sofitel Mumbai BKC,May-21,Hasjiv Singh Anand,Amazing hotel with great hospitality. Enjoyed my staycation here and the staff was also very friendly. All protocols were taken to ensure the safety of their guests. A must visit hotel. Will definitely come back again.
Sofitel Mumbai BKC,Dec-20,Abhishek Santosh,"… and have all the facilities to make the guests feel welcome and at home. The food was also really delicious and given the pandemic I felt safe knowing that my food was handled well and safely. Overall, worthy of the 5 star rating!"
Sofitel Mumbai BKC,May-21,Tehseen Ganai,Good service.Nice healthy breakfast. Staff are supporting. Proper sanitization of rooms and hotel area. Safe to stay during pandemic. All guidelines are being followed
Sofitel Mumbai BKC,May-21,Akash Gupta,Absolutely fine dinning place Great Ambience delicious food Great service by F&b team.....all covid protocol were taken to Ensure the safety of thiere guest a Must visit hotel...
Sofitel Mumbai BKC,Apr-21,Rohini Pawar,"Nice Hotel, with superb ambience . Good service. Nice healthy breakfast . Staff are supporting . Proper sanitization of rooms and hotel area. Safe to stay during pandemic. All guidelines are being followed."
Sofitel Mumbai BKC,Apr-21,Sabeen Lobo,Had an Amazing experience . Proper sanitization of rooms and hotel area. Safe to stay during pandemic. I would love to visit again 😊🙏🏼 .
Sofitel Mumbai BKC,Apr-21,Nikita S,Felt safe staying there during the pandemic. Try their Thai fried rice - I loved it
Sofitel Mumbai BKC,Jan-21,Philip Thomas,"Very polite staff, excellent service and safety measures. I came for the US visa interview during COVID, and was skeptical about the hygiene at other hotels, hence booked here. Overall, I'm very satisfied with their service and their …"
Sofitel Mumbai BKC,Apr-21,divya talajia,I must say they are following all the safety protocols amid Covid-19.
Sofitel Mumbai BKC,,,I enjoyed my stay.
Sofitel Mumbai BKC,,,The service was excellent and staff members were also courteous.
Sofitel Mumbai BKC,,,Overall i had a great experience.
Sofitel Mumbai BKC,Feb-21,Anusha Cherian,"… needs and went above and beyond to make us all feel comfortable. The food was droolworthy and the covid safety measures undertaken calmed down even the worst skeptic. Planning a wedding can be a headache but special thanks to Sachin, Chef …"
Sofitel Mumbai BKC,Feb-21,TeamISx TRIggER Gaming,The food served in Pondicherry Café was delicious and the staff was amazing all the safety protocol were being followed.
Sofitel Mumbai BKC,Sep-20,Azim Virani,… hotels I stayed during my quarantine time in India! Upon arrival our luggage’s were fogged and sanitized and basic protocols were in place to ensure safety of guests and employees. The staff at the guests services were extremely friendly. …
Sofitel Mumbai BKC,Dec-20,Sagar Vijay Shah,Hotel stay during COVID times was safe. Hotel staff was helpful and courteous and had taken good precaution for COVID. Breakfast buffet and room was good.
Sofitel Mumbai BKC,Dec-20,BUNKO JUNKO,Superb food .Good safety precautions for covid.
,,,
Taj Tirupati,Apr-21,Dr. Sridutt Bhaadri,Very nicely maintained property.. courteous staff.. Follows all covid precautions..
Taj Tirupati,,,Rooms are comfortable.. Restaurant has a great choice of food.. the buffet …
Taj Tirupati,Mar-21,dr palaparthi,"Best place to stay in Tirupati during COVID times if price is not an issue. Great ambience, extraordinary house keeping and courteous staff. Food at Varuna is very good and delicious. It needs to set in a kids play area . Lots of space is available. Hope management takes note of this and work in this regard."
Taj Tirupati,May-21,ENUGUNTA LILEEP,This was best Hotel I visited During COVID TIME TAJ TIRUPATHI
,,,GOOD FOOD AND SERVICE FROM PRAMOD AND MOHAN
,,,GOOD AMBIANCE …
"ITC MARATHA, Mumbai",Jun-21,Saikiran Shetty,It was a welcome break after staying indoors for almost 75 days. The sense of security with covid protocol was top notch. The staff was very cooperative despite odds. Must mention the guys at the concierge were great host too. Adrian and …
"ITC MARATHA, Mumbai",Jun-21,Fareed Khan,The hotel is majestic and the safety measures against Covid ease your troubles. You feel right at home with the cozy rooms and the delicious food. Thank you Delzine ( Guest Relations In Charge) for all your assistance. Keep up the good work …
"ITC MARATHA, Mumbai",Jun-21,pawan kumar,The Hotel is Best in its Security feature. Safe stay during COVID. They have taken various initiatives to provide the safe stay to their Guests. I am very much impressed with their safety measure. Deep sanitization and cleaning of room. …
"ITC MARATHA, Mumbai",Jun-21,Nisha Yaduvanshi,Loved the place for staycation.. Safe to say during covid times.
"ITC MARATHA, Mumbai",Mar-21,Karan Sikka,… rooms were very clean and nice. All the staff were very courteous !!!
"ITC MARATHA, Mumbai",,,Their safety policies with respect to the ongoing pandemic were very nice.
"ITC MARATHA, Mumbai",,,Even though there were too many check-ins happening simultaneously but still it was being …
"ITC MARATHA, Mumbai",Apr-21,Chiranjeev Maini,* Decor and colour colonisations were simply gorgeous 😍
"ITC MARATHA, Mumbai",,,* Checkin and checkout was smooth
"ITC MARATHA, Mumbai",,,* All applicable precautions and safety measures were in place.
"ITC MARATHA, Mumbai",,,* Swimming pool looked cool (from outside).. it was not accessible due to Covid. …
"ITC MARATHA, Mumbai",May-21,Akshay Punetha,"… enabling ipad check in and check out. Overall a very good stay and they just loved the food, room, housekeeping, ambience, guest relations and reception team. Kudos to the hotel for following all protocols to keep guests safe at this time."
"ITC MARATHA, Mumbai",Mar-21,Samarth Salla,… very clean and nice. All the staff members were very polite.
"ITC MARATHA, Mumbai",,,Their safety measures with respect to the ongoing pandemic were very innovative and up to the mark
"ITC MARATHA, Mumbai",Apr-21,Nikesh Banwade,The Hotel is Best in its Security feature. Safe stay during COVID. They have taken various initiatives to provide the safe stay to their Guests. I am very much impressed with their safety measure. Deep sanitization and cleaning of room. …
"ITC MARATHA, Mumbai",May-21,Balachandran Kodandath,"… food was ok as the restaurant had very limited choice, be it buffet or any other options. Breakfast was great though. Rooms are pretty nice and the only thing I missed was rainshower. They made us feel safe with covid sterilization and all."
"ITC MARATHA, Mumbai",Jun-21,Urvashi Gandhi,… and it ensured we had a great dining experience.
"ITC MARATHA, Mumbai",,,The excellent service & the strict implementation of following covid protocols made us feel really safe
"ITC MARATHA, Mumbai",,,From temperature checks sanitation and maintaining hygiene and strict social …
"ITC MARATHA, Mumbai",Apr-21,Rohit Paradkar,Their safety measures with respect to the ongoing pandemic were very innovative and up to the mark. Also the check in was smooth and efficient all thanks to Dhyey and …
"ITC MARATHA, Mumbai",Jun-21,Sameer Desai,"Simply the best in all segments ...high safety standards (not seen in any other 5 star hotels), highly professional staff always willing to help every possible way ...excellent food ...Special thanks to Chef Arjun, Zainab, Akshay, Swarat, …"
"ITC MARATHA, Mumbai",Feb-21,Naveen Yalamanchili,… . The staff were really professional and everyone wore masks. The place was very well sanitized. The rooms were really clean and I felt safe. Thanks to the staff and I'd definitely recommend to everyone planning on staying with family
"ITC MARATHA, Mumbai",Feb-21,Diago Fernandes,"… till my exit. Overall Ambience , structure of the hotel, Shopping arcade , it's very good. Especially about room, it's very well arranged and organized - commendable. Very well taken care in terms of Civid safety. Will surely recommend ."
"ITC MARATHA, Mumbai",Jan-21,Aman Kumar Roy,Great place. Had a great day. Great variety of food. Loved its service. The food was great and served hot. Proper prescriptions and safety measures were taken care of.
,,,
Crowne Plaza Chennai,May-21,Vinod Kumar,The food was was very homely and tasty. Staff was so friendly and they made sure we had a comfortable stay. It was great to see everyone wearing mask and following COVID guidelines. Will surely come back soon
Crowne Plaza Chennai,May-21,Ajay,Came with family stay was good enjoyed the stay food was good planning to come again front desk Krishna was best in taking care of guest she made our stay memorable recommendation place and safe for COVID
Crowne Plaza Chennai,Jan-21,Parmeet Singh,Stayed at this hotel with our team in January 2021 for 20 days. Found this hotel up to the mark in all aspects. Adequate Covid 19 precautions are there. Would like to thank the management and associates
,,,"of housekeeping, F&B and room service for the services provided"
,,,
"Taj Fisherman's cove, Chennai",Jun-21,Anand G,"The property is beautiful and service is great. Due to covid situation, they were operating on short crew and the facilities were closed. Overall I had a good time at the resort. The rooms could use uplift. I stayed in a cottage."
"Taj Fisherman's cove, Chennai",Mar-21,Vilay T,We had a great experience. The hotel has maintained all covid precautions bso we felt safe. The only thing I can say which can be improved is the breakfast menu
"Taj Fisherman's cove, Chennai",Mar-21,Vinay Samtani,The service and the dinner buffet were very bad. It did not feel like a TAJ. The staff were rude and they did not even give us a room cleaning service claiming that they only clean the rooms once in the morning due to COVID.
"Taj Fisherman's cove, Chennai",Feb-21,Rithwik,Crowded like a fish market during the pandemic period. Breakfast area was crowded literally like a fish market. They could have arranged the breakfast areas into different places based on room numbers to spread the crowd. Terrible service. My room toilet door could not be locked and no service was provided even after complaint. Its because the facility was running beyond capacity during pandemic times. We were checked in almost 2 hours late and asked to leave on time. Management should be more responsible
,,,
Radisson Blu GRT Chennai,Sep-20,Emanuele,"In front of the airport, very warm welcome, big rooms full equipped. Thanks to all friendly employees I had the feeling to be at home. All the staff fully respected the covid rules and precautions. Excellent food starting from breakfast to dinner. Impressive meeting rooms in case of need are available, with full service in support."
Radisson Blu GRT Chennai,Jun-20,Ajay,"I have enjoyed my stay at Radisson blu, it is very close to the airport (let's than 10 min's of car drive. I strongly recommend this place to others if they visit Chennai and if you are looking for a hotel with some high standards of cleanliness, especially during COVID times like this, this is the place you would like to go for."
Radisson Blu GRT Chennai,Jun-20,Kumudesh M,"Mishra Family Stay in Transit to Hong Kong 17-20 Jun. We had to stay near airport and which can maintain propert hygine and cleaniness. we found under Covid scenario,Radisson GRT has maintained its santization properly and can be booked for stay"
,,,
Hyatt Regency Thrissur (Kerala),Apr-21,,"Family & me very happy about our stay in Hyatt, Thrissur. Very cordial & welcoming staff with ever pleasant smiling faces to greet you always, while taking the utmost case in ensuring the COVID protocols laid are diligently followed by everyone. Since we had stayed there only for a night, didn't have the time to avail their various amenities like Gym & spa."
Hyatt Regency Thrissur (Kerala),Jan-21,Joe,this room was by far the most humungus room i have stayed in my lie while traveling. staff was extra nice to us. the building followed every covid 19 protocol. food was awsome and tasty. pool was clean.
Hyatt Regency Thrissur (Kerala),Dec-20,Vinod Krishna,I am a regular visitor here in Hyatt Trichur and I always found the best service from the hotel. Always keep a personal touch for every minimal area and makes me feel at home. The rooms are well maintained and the Covid protocol is strictly followed.
Hyatt Regency Thrissur (Kerala),Dec-20,Savesh Kumar,"Very safe and comfortable stay. Safety is taken care to its best, well sanitized room and common area, food quality is the best. Hospitality at its best, very cooperative and accommodative staff. Loved the stay."
,,,
Hilton Garden Inn Trivandrum,Jun-21,Joseph S,"Excellent customer care by Mr. subhadeep, room service and breakfast was really nice, covid protocol was maintained, easy access to secretaire and tvm city, Rooms are spacious, well maintained, good house keeping"
Hilton Garden Inn Trivandrum,Jun-21,Indu ,"The room was spacious, clean with all modern amenities. My daily needs were looked after by Priyanlal and team. The reception team were very helpful, especially Angoor, Deepthish, Prasobh, Subh etc. Covid protocols were adhered to by all staff members"
Hilton Garden Inn Trivandrum,Apr-21,Vikramaditya Jasiwal,"The major USP of this hotel as per me is that it is taking maximum precautions for Covid-19 during the pandemic, and this is not only for visual optics but you shall experience it yourself during your stay. Not only do they have sanitisers located at various places but are also providing envelopes at restaurants to keep your mask in a safe manner, the cutleries are also sanitised and kept separately on the tables. Rooms are sanitised daily and can be confirmed with a typical smell of the sanitiser which is different from the regular room fresheners used by hotels."
Hilton Garden Inn Trivandrum,Apr-21,R Pandey,Food by Mr. Ram was fanstastic. Housekeeping was good. Made my day before joining the ship. Staff was very clean and tidy. Even in these toughest time hotel staff served me very well and upto the mark. Wish them best for ahead. Stay safe n stay healthy
Hilton Garden Inn Trivandrum,Apr-21,Arun,"WE stayed in one of the deluxe rooms, which had ample space. Rooms are clean, tastefully done, well sanitized and the property has all Covid safety measures in place, ensuring a safe stay."
Hilton Garden Inn Trivandrum,Apr-21,Arun Yadav,"Welcomed with great smile, The baggages were sanitized before entering hotel, Loved the energy,smiles and hospitality."
,,,
Four Points by Sheraton Kochi,Apr-21,,"We absolutely loved out stay at 4 points. Right from the entrance until the very end, we were delighted beyond imagination by each and every member of the team. Safety: They follow all the necessary covid guidelines. They scanned our luggage, registered our temperature at arrival."
Four Points by Sheraton Kochi,Feb-21,Graceon,I have stayed at four points 2 times during this pandemic.They have taken care of all the precautionary measure with international standards.Check- in was smooth and all the staff was very helpful during my stay there.
Four Points by Sheraton Kochi,Feb-21,Sandeep Krishnan,Will definitely recommend this hotel to all without any doubt. And also managing a crowd of nearly 150 guests during Covid was a concern In my head but the way Four Points have managed to comply with all social distancing protocols and the way they manager their sanitisation process was commendable
Four Points by Sheraton Kochi,Jan-21,Anoop Nair,"Excellent food with an elaborate buffet, very polite staff who are extremely courteous, calm and peaceful location a bit far from the city, rooms are ok, Kept well, maintaining all covid protocols, very accommodating to all your specific requirements"
,,,
"Trident, Agra",Apr-21,Neha V,"The hotel property is well maintained. However, rooms are small in size. The food is delicious. We booked here for Good Friday Long weekend with breakfast, lunch and dinner. It was worth it. There were lots of people and social distancing was missing."
"Trident, Agra",Apr-21,Seitu,One of most amazing stays at this property. Awesome hospitality. Ayush at the bar took really good care of us. A good place for weekend getaway. The pool was open and it's a good relief to be in the pool after ages. The hotel is taking all precautions to make the stay a pleasant one
"Trident, Agra",Mar-21,Akil M,The best part was the restaurant staff who took great care of us and provided us everything we asked. The only area of improvement would be for the staff to enforce the mask rule more stringently. Too many other guest were roaming around in public spaces without mask
"Trident, Agra",Feb-21,Deepten C,"What was planned to be an exemplary stay turned out to be lackluster and quite a dampener. Surprisingly, inspite of the Covid related wariness, one found the hotel quite filled to capacity, and that's possibly due to the quite competitive tariffs the hotel was offering. However, this also meant that the service levels went down by several notches. The staff at the restaurant was completely unable to handle the crowd and one could see them running around cluelessly."
"Trident, Agra",Jan-21,,"Our involvement in Trident was incredible. Friendliness eminent, they are taking all the essential safety measures against Coronavirus."
"Trident, Agra",Dec-20,Amit Arora,"Picturesque, very green and mesmerising setting. Loved everything about it. Staff is very careful in maintaining distancing and sanitisation during the pandemic. Would definitely visit again."
,,,
Novotel Lucknow,Feb-21,Manu P,Safety:
Novotel Lucknow,,,"Found their saftey concerns to be of top class. Sanitization, masks, face shield everything were used by their staff to not just ensure safety but also let us feel safe."
Novotel Lucknow,Dec-20,Ayush Verma ,It was great experience in Novotel and the staff was very friendly and helpful Mr Amir was really great and helping us to keep our rooms clean and hygienic.it was properly sanitised everytime we left room
,,,
"Le Meredien, Nagpur",Apr-21,Nitin Gulve,Excellent overall Hospitality. Good Contactless Check-in. Very good Covid compliance and social distancing followed
"Le Meredien, Nagpur",Apr-21,Abhishek,Everything was a wonderful and a great stay. The front desk and housekeeping staff are very courteous and friendly and go the extra mile to make you comfortable and happy. They have taken precautions against COVID-19.
,,,
"ITC Windsor, a Luxury Collection Hotel, Bengaluru",May-21,Harshil Chovatiya,This si very best hotel in bengluru.
"ITC Windsor, a Luxury Collection Hotel, Bengaluru",,,Nice experience overall!
"ITC Windsor, a Luxury Collection Hotel, Bengaluru",,,"Good cleaning/safety measures taken during this pandemic period, felt safe. Lot of options in food as four restaurants offer different style of cuisines."
"ITC Windsor, a Luxury Collection Hotel, Bengaluru",,,Check in experience …
"ITC Windsor, a Luxury Collection Hotel, Bengaluru",Mar-21,muzamil ahamed khan,"We (my family) had a excellent experience with ITC Windsor, We can actually say its a luxury hotel with very good amenities and service with excellent safety measures followed by the each and every individual staff."
"ITC Windsor, a Luxury Collection Hotel, Bengaluru",Dec-20,Travel Stories By Sana,Hello team! Thank you for such a wonderful hospitality and safe stay!
"ITC Windsor, a Luxury Collection Hotel, Bengaluru",,,"I was apprehensive while I was booking the hotel due to this pandemic, but u guys took care of every minute details!"
"ITC Windsor, a Luxury Collection Hotel, Bengaluru",Apr-21,Priya Murali,I like the hospitality and cleanliness.. organisation of things and safety measures taken against corona virus were extraordinary... the scenery of swimming pool was awesome. It gave us a pleasant feeling.. swimming trainers were …
"ITC Windsor, a Luxury Collection Hotel, Bengaluru",Mar-21,Mithun Bangera,courteous and helpful. They were extremely careful about keeping up the safety standards during the Corona times . I was very pleased with the hospitality and how the staff worked with extreme diligence and care to make my stay pleasant and …
"ITC Windsor, a Luxury Collection Hotel, Bengaluru",Mar-21,chaithra n.s,Nice experience overall!
"ITC Windsor, a Luxury Collection Hotel, Bengaluru",,,"Good cleaning/safety measures taken during this pandemic period, felt safe."
"ITC Windsor, a Luxury Collection Hotel, Bengaluru",,,Lot of options in food as four restaurants offer different style of cuisines.
"ITC Windsor, a Luxury Collection Hotel, Bengaluru",Mar-21,Bhavana,"Good cleaning/safety measures taken during this pandemic period, felt safe."
"ITC Windsor, a Luxury Collection Hotel, Bengaluru",Feb-21,Anubhav Rai,It was amazing !! The staff was very courteous and helpful. They were extremely careful about keeping up the safety standards during the Corona times . I was very pleased with the hospitality and how the staff worked with extreme diligence …
"ITC Windsor, a Luxury Collection Hotel, Bengaluru",Mar-21,Yukta Nahata,It was nice staying at ITC Windsor!
"ITC Windsor, a Luxury Collection Hotel, Bengaluru",,,"During my visit at the hotel, I enjoyed the food and desserts a lot."
"ITC Windsor, a Luxury Collection Hotel, Bengaluru",,,Perfect Cleaning & safety measures were taken in this pandemic!
"ITC Windsor, a Luxury Collection Hotel, Bengaluru",Mar-21,Nilesh Maheshwari,Love how they took utmost precautions regarding sanitization and safety.
"ITC Windsor, a Luxury Collection Hotel, Bengaluru",Feb-21,Nayana V R,"They were so particular about their safety protocols,everyone is always sanitised.The hotel is pristine and inch-perfect when it comes to hygiene. Food was excellent. Kudos to the team Royal Afghan. Definitely we are gonna come back. Thank …"
"ITC Windsor, a Luxury Collection Hotel, Bengaluru",Feb-21,shivakumar r,"… , great service and very humble staff and not to forget the varieties of food was top notch. It was really an amazing time.. Kudos to the entire staff and the management for being so cautious and maintaining the covid safety protocols.."
"ITC Windsor, a Luxury Collection Hotel, Bengaluru",Feb-21,Abyson Chandy,"I honestly felt that the staff had taken an extra step in ensuring that the rooms and premises were COVID safe, which is something that is very much required at this time. I highly appreciate it. Thanks again and keep up the good work."
"ITC Windsor, a Luxury Collection Hotel, Bengaluru",Feb-21,Abhishek Sahay,"Well, the best hotel to stay during pandemic. The Covid protocols they have is really commendable. This is called luxury with safety and care."
"ITC Windsor, a Luxury Collection Hotel, Bengaluru",Feb-21,Akanksha R,Had a brilliant experience at Windsor. The room was clean and the staff took appropriate safety measures. Special mention to the housekeeping staff and Mrs. Ila Prabhu for ensuring that my stay was comfortable. Thank you!
"ITC Windsor, a Luxury Collection Hotel, Bengaluru",Mar-21,Bhakti Bambardekar,Good safety measures were taken by the staff.The staff over there was kind and helpful
"ITC Windsor, a Luxury Collection Hotel, Bengaluru",Mar-21,Tapan Kumar Jena,"It's a great hotel, clean rooms very friendly and helpful staff. Safe for family and ladies. They are maintaining very hygiene products in COVID situation.,"
"ITC Windsor, a Luxury Collection Hotel, Bengaluru",Feb-21,Sudha Patil,"It's a great hotel, clean rooms very friendly and helpful staff. Safe for family and ladies. They are maintaining very hygiene products in COVID situation."
,,,
Hilton Bangalore Embassy GolfLinks,Dec-20,John Joseph,"Hygiene was top notch, service was full of warmth and care. We had no qualms over our health and safety. The Executive Suite was stylish yet homely. Kids felt so comfortable withing the rooms, they never asked …"
Hilton Bangalore Embassy GolfLinks,Apr-21,pranali mankar,Awsome experience. Well senitized. Feeling safe. Take proper precautions for this pandamic
Hilton Bangalore Embassy GolfLinks,Jun-20,saras suhane,"… sort a number of issues. Dining has variety of choice to meet customer needs. The hotel is clean, safe and comfortable, what you expect from Hilton property. Helpful and courteous staffs. The buffet spread is a must and absolutely worthy!! …"
Hilton Bangalore Embassy GolfLinks,Feb-21,Subhankar Rath,"Extremely safe and cautious staff because of the covid restrictions, even buffet is served to your table. Very cooperative staff all temperature checked and wear a mask at all times. The food is excellent and the variety of food offered is …"
Hilton Bangalore Embassy GolfLinks,Mar-21,Vamsi ramakrishna,Safe and comfortable stay during the pandemic. Recommend this place for those who want a homey room
Hilton Bangalore Embassy GolfLinks,Dec-20,Abhirami L.G.,Never felt so safe outside the home as I did at this Hilton during this time. We were traveling with our 3 year old and were generally apprehensive about being with a toddler in a hotel during a pandemic but they made us feel so secure. …
Hilton Bangalore Embassy GolfLinks,Jun-20,Sabu Gopinath,"… and helpful. Starting with Selvy, the security staff screening bags at the entrance to Srinivas and team in house keeping, or the friendly bar staff (the spicy pork dish is speciality), they try to make the stay special. Some thoughtful …"
,,,
Four Seasons Hotel Bengaluru at Embassy ONE,May-21,milind pm,All safety protocols are followed here strictly
Four Seasons Hotel Bengaluru at Embassy ONE,Jun-20,Jomy Johny,"… and a first of its kind. So when you come to think about a wedding reception during these times, the one thing you can never compromise on is on the safety and assurance of being in a safe place. Four Seasons lived upto and as my …"
Four Seasons Hotel Bengaluru at Embassy ONE,Apr-21,Anandita Pawar,"Amazing experience. Our package included all meals. There was no buffet due to COVID, but in-room dining was well arranged. Everything requested would arrive …"
Four Seasons Hotel Bengaluru at Embassy ONE,Jun-21,Pavan Goudnaik,"Mr Jacob in the reception was very helpful , but food quality is not up to mark , they don’t have buffet option due to covid , they provide breakfast in room that too very little quantity, if asked for more , they say it will be chargable , not expected from such reputed brand of hotel , will never prefer four seasons Bengaluru at least"
Four Seasons Hotel Bengaluru at Embassy ONE,Apr-21,Harsha Swamy,The ambience is top class. Chef whipped up some amazing lunch for us. Covid protocols followed strictly.
,,,
JW Marriott Hotel Bengaluru,May-20,Gaurav Loomba,… was amazing! Totally loved the stay. Breakfast was finger licking good! It was reassuring to see the safety protocols during the pandemic were being followed. A memorable experience indeed! The views from the Suite room were breathtaking …
JW Marriott Hotel Bengaluru,Apr-21,Vinod Krishnamurthy,Three car parking floor is available. Banquet is good and we have done a huge setup at hotel and they follow all COVID rules and regulations.
JW Marriott Hotel Bengaluru,May-20,Aaron Pereira,Post COVID-19 a lot of stringent methods to ensure safety have been undertaken and kudos to the team serving the community.
,,,
"The Oberoi, Bengaluru",Apr-21,Sachee Roy,"Great hospitality , safety and hygiene top notch and delicious food. I could have given more than 5 stars if I could.have a very comfortable and safe(during covid19) stay."
"The Oberoi, Bengaluru",Apr-21,carol l,Excellent in terms of hygiene and safety measures. Staff very polite and courteous. A special mention to one of your staff member who saw us with 2 kids and helped carry our bag to the lift while we were leaving. Very polite and helpful.
"The Oberoi, Bengaluru",May-21,Vivek Mishra,Very nice. Felt very safe to visit during the pandemic.
"The Oberoi, Bengaluru",Feb-21,Vikram Mohan,… him I give you guys 2 stars . He was exemplary and made sure I was felt welcome and comfortable..... few issues about COVID safety I expressed... on the whole was a private and exclusive evening . Compliments to the entire team . Will be …
,,,
"The Westin Rajarhat, Kolkata",Jun-21,Aditya Jaiswal,Arrangements were good Interior was well maintained Covid-19 protocols were followed Food was good Service was good The chef rajendra The hotel staff were very cooperative Especially Prosenjit and Sabir
"The Westin Rajarhat, Kolkata",Jun-21,,"We were looked after very well. Even during this pandemic where staffs were limited, we faced absolutely no challanges. The property is beautiful, hygenic and all the staffs were following the CoVID protocols."
"The Westin Rajarhat, Kolkata",May-21,Darpan,"Don’t understand don’t these hotels know we are under a pandemic called Covid 19 Second wave that the whole sense of cleanliness goes for an absolute toss. Booked at Westin thinking this is a strong brand and will be safely clean and sanitised. Unfortunately they ensured they weren’t clean enough. Dirty stained carpets, dirty sofas, stained chairs, dirty toilets, not so good looking bananas and height of their slackness - Welcome card in some one else’s name, and all this in their Suite To make matters worst wanted my breakfast to be served at 6.45 am as had to leave for Airport and had booked it on the previous night itself, they Cooly forgot about it. Slackness and Unhygienic standard Galore at this Westin in Kolkata"
"The Westin Rajarhat, Kolkata",May-21,Narayan B,We were very worried about the covid but the hotels maintained well decorum against covid-19. Food food quality and service is excellent
,,,
The Suryaa New Delhi,Jun-21,Sheila chaddha,"In the Pandemic , Hotel has taken all the safety measures , right from check in to lift to the room, you will find sanitiser near to you.staff is maintaining social distancing while being empathetic which is so important specially during this time when we are away from family"
The Suryaa New Delhi,May-21,Ranjan,"In the pandemic ,Suryaa has taken all the safety measures.staff is wearing mask and maintaining social distancing.breakfast they are providing in room.room dining was quick and very friendly."
The Suryaa New Delhi,Mar-21,Shubham,My second visit in this hotel after pandemic.... I would like to say thanks to hotel staff as they are welcome to us from checkin till checkout everything is fantastic and they use all safety measures during this pandemic time.
The Suryaa New Delhi,Mar-21,Hussain,"What an ambiance, rooms are fabulous with all COVID-19 measures"
The Suryaa New Delhi,Feb-21,Pulkit Kohli,"Very nice hotel to stay ,staff is very cooperative,neat and clean everything,and maintaing all precautions to prevent coronna"
